face_id,lot,dmp,county_objectid,county_address
FACE-0508,464,708,38906149,49 RIVER PL
FACE-0491,465,709,38906150,51 RIVER PL
FACE-0470,466,710,38906151,53 RIVER PL
FACE-0458,467,711,38906152,55 RIVER PL
FACE-0446,468,712,38906153,57 RIVER PL
FACE-0424,469,713,38906154,59 RIVER PL
FACE-0790,47,204,38905624,26 GRACE PARK
FACE-0412,470,714,38906155,61 RIVER PL
FACE-0358,471,715,38906156,2 BRIGHTON TRCE
FACE-0363,472,716,38906157,4 BRIGHTON TRCE
FACE-0367,473,717,38906158,6 BRIGHTON TRCE
FACE-0378,474,718,38906159,8 BRIGHTON TRCE
FACE-0384,475,719,38906160,10 BRIGHTON TRCE
FACE-0379,476,720,38906161,12 BRIGHTON TRCE
FACE-0361,477,482,38905924,11 BRIGHTON TRCE
FACE-0348,478,722,38906163,1 BRIDGE PT
FACE-0339,479,723,38906164,3 BRIDGE PT
FACE-0789,48,201,38905621,21 GRACE PARK
FACE-0332,480,724,38906165,5 BRIDGE PT
FACE-0333,481,725,38906166,16 WEST HAVEN ST
FACE-0327,482,726,38906167,18 WEST HAVEN ST
FACE-0324,483,727,38906168,20 WST HAVEN ST
FACE-0316,484,728,38906169,22 WEST HAVEN ST
FACE-0299,485,729,38906170,15 E MANOR
FACE-0290,486,730,38906171,13 MANOR
FACE-0279,488,731,38906172,9 MANOR
FACE-0269,489,732,38906173,7 MANOR
FACE-0803,49,205,38905625,22 GRACE PARK
FACE-0262,490,733,38906174,5 MANOR
FACE-0248,491,734,38906175,3 MANOR
FACE-0242,492,735,38906176,1 MANOR
FACE-0247,493,736,38906177,2 WEST HAVEN ST
FACE-0264,494,737,38906178,4 WEST HAVEN ST
FACE-0273,495,738,38906179,6 WEST HAVEN ST
FACE-0282,496,739,38906180,8 WEST HAVEN ST
FACE-0296,497,740,38906181,10 WEST HAVEN ST
FACE-0304,498,741,38906182,12 WEST HAVEN ST
FACE-0312,499,742,38906183,14 WEST HAVEN ST
FACE-0335,5,153,38905567,15 ST PHILLIPS BLVD
FACE-0798,50,200,38905620,17 GRACE PARK
FACE-0289,500,743,38906184,24 WEST HAVEN ST
FACE-0284,501,744,38906185,26 WEST HAVEN ST
FACE-0276,502,745,38906186,28 WEST HAVEN ST
FACE-0270,503,746,38906187,30 WEST HAVEN ST
FACE-0266,504,747,38906188,32 WEST HAVEN ST
FACE-0245,505,748,38906189,34 WEST HAVEN ST
FACE-0240,506,749,38906190,36 WEST HAVEN ST
FACE-0233,507,750,38906191,38 WEST HAVEN ST
FACE-0200,508,751,38906192,40 WEST HAVEN ST
FACE-0186,509,752,38906193,42 WEST HAVEN ST
FACE-0812,51,206,38905626,18 GRACE PARK
FACE-0166,510,753,38906194,44 WEST HAVEN ST
FACE-0144,511,754,38906195,46 WEST HAVEN ST
FACE-0185,512,755,38906196,2 MANOR
FACE-0196,513,756,38906197,4 MANOR
FACE-0206,515,757,38906198,8 W MANOR
FACE-0237,516,758,38906199,10 W MANOR
FACE-0243,517,759,38906200,12 MANOR
FACE-0250,518,760,38906201,14 W MANOR
FACE-0267,519,761,38906202,16 W MANOR
FACE-0808,52,199,38905619,13 GRACE PARK
FACE-0098,520,762,38906203,30 TREADLANDS
FACE-0106,521,763,38906204,28 TREADLANDS
FACE-0142,522,764,38906205,20 N CRESCENT
FACE-0121,523,765,38906206,18 CRESCENT
FACE-0109,524,766,38906207,16 CRESCENT
FACE-0104,525,767,38906208,14 N CRESCENT
FACE-0118,526,768,38906209,12 N CRESCENT
FACE-0131,527,769,38906210,10 N CRESCENT
FACE-0149,528,770,38906211,8 N CRESCENT
FACE-0170,529,771,38906212,6 CRESCENT
FACE-0819,53,207,38905627,14 GRACE PARK
FACE-0194,530,772,38906213,4 N CRESCENT
FACE-0208,531,773,38906214,2 CRESCENT
FACE-0093,532,774,38906215,1 BROOK SIDE
FACE-0119,533,775,38906216,3 BROOK SIDE
FACE-0136,534,776,38906217,5 BROOK SIDE
FACE-0159,535,777,38906218,7 BROOK SIDE
FACE-0173,536,778,38906219,9 BROOK SIDE
FACE-0192,537,779,38906220,11 BROOK SIDE
FACE-0201,538,780,38906221,13 BROOK SIDE
FACE-0235,539,781,38906222,15 BROOK SIDE
FACE-0824,54,198,38905618,9 GRACE PARK
FACE-0244,540,782,38906223,17 BROOK SIDE
FACE-0268,541,783,38906224,19 BROOK SIDE
FACE-0275,542,784,38906225,26 TREADLANDS
FACE-0283,543,785,38906226,24 TREADLANDS
FACE-0292,544,786,38906227,22 TREADLANDS
FACE-0300,545,787,38906228,20 TREADLANDS
FACE-0307,546,788,38906229,18 TREADLANDS
FACE-0314,547,789,38906230,16 TREADLANDS
FACE-0322,548,790,38906231,14 TREADLANDS
FACE-0328,549,791,38906232,12 TREADLANDS
FACE-0830,55,208,38905628,10 GRACE PARK
FACE-0337,550,792,38906233,10 TREADLANDS
FACE-0373,551,793,38906234,2 TREADLANDS
FACE-0369,552,794,38906235,4 TREADLANDS
FACE-0364,553,795,38906236,6 TREADLANDS
FACE-0355,554,796,38906237,8 TREADLANDS
FACE-0350,555,797,38906238,23 HABERSHAM PARK
FACE-0341,556,798,38906239,21 HABERSHAM PARK
FACE-0331,557,799,38906240,19 HABERSHAM PARK
FACE-0325,558,800,38906241,17 HABERSHAM PARK
FACE-0318,559,801,38906242,15 HABERSHAM PARK
FACE-0834,56,197,38905617,5 GRACE PARK
FACE-0311,560,802,38906243,13 HABERSHAM PARK
FACE-0305,561,803,38906244,11 HABERSHAM PARK
FACE-0329,562,804,38906245,2 PARK BND
FACE-0340,563,805,38906246,4 PARK BND
FACE-0347,564,806,38906247,6 PARK BND
FACE-0342,565,807,38906248,8 PARK BND
FACE-0330,566,808,38906249,10 PARK BND
FACE-0323,567,809,38906250,12 PARK BND
FACE-0315,568,810,38906251,14 PARK BND
FACE-0286,569,811,38906252,9 PARK BND
FACE-0837,57,209,38905629,6 GRACE PARK
FACE-0291,570,812,38906253,7 PARK BND
FACE-0298,571,813,38906254,5 PARK BND
FACE-0306,572,814,38906255,3 PARK BND
FACE-0310,573,815,38906256,1 PARK BND
FACE-0295,574,816,38906257,9 HABERSHAM PARK
FACE-0287,575,817,38906258,7 HABERSHAM PARK
FACE-0277,576,818,38906259,5 HABERSHAM PARK
FACE-0271,577,819,38906260,3 HABERSHAM PARK
FACE-0265,578,820,38906261,1 HABERSHAM PARK
FACE-0254,579,821,38906262,53 HARFORD
FACE-0841,58,196,38905616,1 GRACE PARK
FACE-0256,580,822,38906263,51 HARFORD
FACE-0257,581,823,38906264,49 HARFORD
FACE-0258,582,824,38906265,47 HARFORD
FACE-0259,583,825,38906266,45 HARFORD
FACE-0260,584,826,38906267,43 HARFORD
FACE-0253,585,827,38906268,41 HARFORD
FACE-0255,586,828,38906269,39 LOUDEN
FACE-0272,587,829,38906270,10 LOUDON
FACE-0278,588,830,38906271,8 LOUDON
FACE-0288,589,831,38906272,1 SHORT CUT
FACE-0843,59,210,38905631,2 GRACE PARK
FACE-0301,590,832,38906273,5 HOLLINGSWORTH RUN
FACE-0293,591,833,38906274,3 HOLLINGSWORTH
FACE-0281,592,834,38906275,1 HOLLINGSWORTH
FACE-0213,593,835,38906276,26 HARFORD
FACE-0210,595,837,38906278,30 HARFORD
FACE-0189,596,838,38906279,15 ABBEY ROW
FACE-0176,597,839,38906280,13 ABBEY ROW
FACE-0164,598,840,38906281,11 ABBEY ROW
FACE-0154,599,841,38906282,9 ABBEY ROW
FACE-0344,6,284,38905712,16 ST PHILLIPS BLVD
FACE-0847,60,195,38905615,169 SOUTH PARK
FACE-0137,600,842,38906283,7 ABBEY ROW
FACE-0123,601,843,38906284,5 ABBEY ROW
FACE-0089,603,845,38906286,1 ABBEY ROW
FACE-0853,61,236,38905657,93 MUM GRACE
FACE-0225,612,854,38906291,32 HARFORD
FACE-0224,613,855,38906292,34 HARFORD
FACE-0222,616,858,38906294,40 HARFORD
FACE-0221,617,859,38906295,42 HARFORD
FACE-0844,62,194,38905614,165 SOUTH PARK
FACE-0148,625,867,38906296,1 VILLAGE ROW
FACE-0150,626,868,38906297,2 VILLAGE ROW
FACE-0852,63,235,38905656,89 MUM GRACE
FACE-0840,64,193,38905613,161 SOUTH PARK
FACE-0193,640,882,38906301,15 HAMLET ROW
FACE-0179,641,883,38906302,13 HAMLET ROW
FACE-0169,642,884,38906303,11 HAMLET ROW
FACE-0158,643,885,38906304,9 HAMLET ROW
FACE-0141,644,886,38906305,7 HAMLET ROW
FACE-0128,645,887,38906306,5 HAMLET ROW
FACE-0112,646,888,38906307,3 HAMLET ROW
FACE-0096,647,889,38906308,1 HAMLET ROW
FACE-0095,648,890,38906309,2 HAMLET ROW
FACE-0111,649,891,38906310,4 HAMLET ROW
FACE-0851,65,234,38905655,85 MUM GRACE
FACE-0127,650,892,38906311,6 HAMLET ROW
FACE-0140,651,893,38906312,8 HAMLET ROW
FACE-0157,652,894,38906313,10 HAMLET ROW
FACE-0168,653,895,38906314,12 HAMLET ROW
FACE-0178,654,896,38906315,14 HAMLET ROW
FACE-0207,655,897,38906316,56 HARFORD
FACE-0202,656,898,38906317,58 HARFORD
FACE-0198,657,899,38906318,60 HARFORD
FACE-0195,658,900,38906319,62 HARFORD
FACE-0191,659,901,38906320,64 HARFORD
FACE-0833,66,192,38905612,157 SOUTH PARK
FACE-0182,660,902,38906321,66 HARFORD
FACE-0167,661,903,38906322,11 CANTON ROW
FACE-0156,662,904,38906323,9 CANTON
FACE-0139,663,905,38906324,7 CANTON
FACE-0126,664,906,38906325,5 CANTON
FACE-0110,665,907,38906326,3 CANTON
FACE-0094,666,908,38906327,1 CANTON ROW
FACE-0147,667,909,38906328,8 CANTON ROW
FACE-0129,668,910,38906329,6 CANTON ROW
FACE-0114,669,911,38906330,4 CANTON ROW
FACE-0850,67,233,38905654,81 MUM GRACE
FACE-0097,670,912,38906331,2 CANTON ROW
FACE-0473,673,942,38906356,37 MOUNT GRACE
FACE-0492,674,943,38906357,39 MOUNT GRACE
FACE-0507,675,944,38906358,41 MOUNT GRACE
FACE-0522,676,945,38906359,43 MOUNT GRACE
FACE-0535,677,946,38906360,45 MOUNT GRACE
FACE-0550,678,947,38906361,47 MOUNT GRACE
FACE-0563,679,948,38906362,49 MOUNT GRACE
FACE-0820,68,191,38905611,153 SOUTH PARK
FACE-0573,680,949,38906363,51 MOUNT GRACE
FACE-0592,681,950,38906364,53 MOUNT GRACE
FACE-0607,682,951,38906365,55 MOUNT GRACE
FACE-0622,683,952,38906366,57 MOUNT GRACE
FACE-0634,684,953,38906367,59 MOUNT GRACE
FACE-0630,685,954,38906368,61 MOUNT GRACE
FACE-0682,686,955,38906369,64 MOUNT GRACE
FACE-0678,687,956,38906370,62 MOUNT GRACE
FACE-0683,688,957,38906371,60 MOUNT GRACE
FACE-0688,689,958,38906372,1 TOMLOW TRACE
FACE-0849,69,232,38905653,77 MUM GRACE
FACE-0693,690,959,38906373,3 TOMLOW TRACE
FACE-0702,691,960,38906374,5 TOMLOW TRACE
FACE-0709,692,961,38906375,7 TOMLOW TRACE
FACE-0717,693,962,38906376,9 TOMLOW TRACE
FACE-0726,694,963,38906377,11 TOMLOW TRACE
FACE-0731,695,964,38906378,13 TOMLOW TRACE
FACE-0722,696,965,38906379,41 OLD BETHEL
FACE-0723,697,966,38906380,39 OLD BETHEL
FACE-0727,698,967,38906381,37 OLD BETHEL
FACE-0733,699,968,38906382,35 OLD BETHEL
FACE-0351,7,154,38905568,19 ST PHILLIPS BLVD
FACE-0810,70,190,38905610,149 SOUTH PARK
FACE-0737,700,969,38906383,33 OLD BETHEL
FACE-0741,701,970,38906384,31 OLD BETHEL
FACE-0747,702,971,38906385,29 OLD BETHEL
FACE-0756,703,972,38906386,27 OLD BETHEL
FACE-0761,704,973,38906387,25 OLD BETHEL
FACE-0759,705,974,38906388,23 OLD BETHEL
FACE-0753,706,975,38906389,21 OLD BETHEL
FACE-0725,707,976,38906390,19 OLD BETHEL
FACE-0705,708,977,38906391,17 OLD BETHEL
FACE-0689,709,978,38906392,15 OLD BETHEL
FACE-0848,71,231,38905652,73 MUM GRACE
FACE-0671,710,979,38906393,13 OLD BETHEL
FACE-0655,711,980,38906394,11 OLD BETHEL
FACE-0641,712,981,38906395,9 OLD BETHEL
FACE-0621,713,982,38906396,7 OLD BETHEL
FACE-0610,714,983,38906397,5 OLD BETHEL
FACE-0600,715,984,38906398,3 OLD BETHEL
FACE-0591,716,985,38906399,1 OLD BETHEL
FACE-0617,717,986,38906400,56 MOUNT GRACE
FACE-0638,718,987,38906401,2 TOMLOW TRACE
FACE-0651,719,988,38906402,4 TOMLOW TRACE
FACE-0795,72,189,38905608,145 SOUTH PARK
FACE-0660,720,989,38906403,6 TOMLOW TRACE
FACE-0677,721,990,38906404,8 TOMLOW TRACE
FACE-0690,722,991,38906405,10 TOMLOW TRACE
FACE-0700,723,992,38906406,12 TOMLOW TRACE
FACE-0581,724,993,38906407,4 OLD BETHEL
FACE-0561,725,994,38906408,2 OLD BETHEL
FACE-0533,726,995,38906409,44 MOUNT GRACE
FACE-0429,727,996,38906410,35 MOUNT GRACE
FACE-0430,728,997,38906411,33 MOUNT GRACE
FACE-0854,729,R100 027 000 1022 0000,38906432,72 OLD OYSTER FACTORY RD
FACE-0846,73,230,38905651,69 MUM GRACE
FACE-0855,730,R100 027 000 1023 0000,38906433,74 OLD OYSTER FACTORY RD
FACE-0856,731,R100 027 000 1024 0000,38906434,76 OLD OYSTER FACTORY RD
FACE-0857,732,R100 027 000 1025 0000,38906435,78 OLD OYSTER FACTORY RD
